First name,Last name,Gender,Email,Salary,Department,Position,Job Title,Hospital
John,Davis,Male,johndavis@medicaregeneral.org,45503,SURGERY,Junior,Anesthesiologist,St. Joseph's
Sophia,Evans,Female,sophiaevans@st.joseph's.org,47070,EMERGENCY,Intern,Nurse,MediCare General
John,Wright,Female,johnwright@brightlinemedical.org,87820,EMERGENCY,Intern,General Practitioner,MediCare General
Laura,Walker,Male,laurawalker@cityhealth.org,39224,PEDIATRICS,Middle,Pediatrician,City Health
Daniel,Anderson,Female,danielanderson@cityhealth.org,80186,PEDIATRICS,Middle,Pediatrician,Brightline Medical
Elijah,Wright,Female,elijahwright@st.joseph's.org,76815,PEDIATRICS,Senior,Therapist,MediCare General
Charlotte,Lopez,Female,charlottelopez@medicaregeneral.org,64702,SURGERY,Senior,Surgical Nurse,Brightline Medical
Grace,Green,Male,gracegreen@cityhealth.org,65384,SURGERY,Senior,OR Technician,MediCare General
Daniel,Lee,Male,daniellee@cityhealth.org,43859,EMERGENCY,Junior,Paramedic,City Health
Mia,Hill,Male,miahill@cityhealth.org,65571,SURGERY,Junior,Surgical Nurse,Brightline Medical
James,Evans,Female,jamesevans@medicaregeneral.org,43228,PEDIATRICS,Intern,Pediatrician,City Health
Laura,Lee,Male,lauralee@st.joseph's.org,90261,SURGERY,Junior,Anesthesiologist,City Health
John,Scott,Male,johnscott@st.joseph's.org,57858,EMERGENCY,Middle,General Practitioner,MediCare General
Charlotte,Turner,Female,charlotteturner@cityhealth.org,54921,EMERGENCY,Middle,General Practitioner,MediCare General
Olivia,Scott,Female,oliviascott@st.joseph's.org,90683,SURGERY,Intern,OR Technician,St. Joseph's
Laura,Reed,Female,laurareed@st.joseph's.org,46604,SURGERY,Intern,Surgeon,Brightline Medical
Elijah,Clark,Male,elijahclark@st.joseph's.org,39021,PEDIATRICS,Junior,Therapist,City Health
Sophia,Evans,Female,sophiaevans@cityhealth.org,74960,EMERGENCY,Middle,ER Doctor,MediCare General
Noah,Wright,Female,noahwright@st.joseph's.org,71120,PEDIATRICS,Intern,Resident,Brightline Medical
William,Lopez,Female,williamlopez@cityhealth.org,93202,PEDIATRICS,Junior,Pediatrician,MediCare General
Amelia,Wright,Female,ameliawright@brightlinemedical.org,52229,PEDIATRICS,Intern,Therapist,City Health
Sarah,King,Female,sarahking@medicaregeneral.org,79783,PEDIATRICS,Junior,Pediatrician,MediCare General
Lucas,Smith,Female,lucassmith@cityhealth.org,59191,EMERGENCY,Senior,Nurse,MediCare General
Daniel,Young,Female,danielyoung@st.joseph's.org,73402,EMERGENCY,Middle,Paramedic,City Health
Ava,Green,Female,avagreen@brightlinemedical.org,86265,SURGERY,Intern,OR Technician,St. Joseph's
Olivia,Smith,Female,oliviasmith@cityhealth.org,63831,EMERGENCY,Senior,ER Doctor,Brightline Medical
Charlotte,Reed,Female,charlottereed@medicaregeneral.org,54115,PEDIATRICS,Junior,Child Nurse,Brightline Medical
Ethan,Scott,Female,ethanscott@brightlinemedical.org,62772,SURGERY,Senior,Surgical Nurse,Brightline Medical
Sarah,Brown,Male,sarahbrown@medicaregeneral.org,66029,PEDIATRICS,Junior,Therapist,Brightline Medical
Sophia,Scott,Female,sophiascott@brightlinemedical.org,46129,SURGERY,Intern,Anesthesiologist,City Health
Mia,Lee,Female,mialee@brightlinemedical.org,74083,SURGERY,Middle,OR Technician,St. Joseph's
Grace,Walker,Male,gracewalker@medicaregeneral.org,38811,EMERGENCY,Intern,ER Doctor,City Health
Olivia,Walker,Female,oliviawalker@brightlinemedical.org,56150,SURGERY,Junior,Anesthesiologist,City Health
James,Johnson,Female,jamesjohnson@brightlinemedical.org,62426,PEDIATRICS,Senior,Child Nurse,City Health
Daniel,Reed,Female,danielreed@brightlinemedical.org,48951,PEDIATRICS,Intern,Therapist,City Health
Mia,Clark,Male,miaclark@medicaregeneral.org,85407,SURGERY,Middle,OR Technician,MediCare General
John,Young,Female,johnyoung@medicaregeneral.org,82374,EMERGENCY,Senior,Nurse,Brightline Medical
Sarah,Lopez,Female,sarahlopez@st.joseph's.org,92277,EMERGENCY,Senior,General Practitioner,Brightline Medical
William,Clark,Female,williamclark@cityhealth.org,87287,EMERGENCY,Senior,General Practitioner,St. Joseph's
Mia,Anderson,Female,miaanderson@cityhealth.org,57070,EMERGENCY,Intern,General Practitioner,St. Joseph's
Sophia,Taylor,Male,sophiataylor@medicaregeneral.org,67731,SURGERY,Senior,OR Technician,St. Joseph's
William,Green,Male,williamgreen@medicaregeneral.org,55877,PEDIATRICS,Intern,Therapist,St. Joseph's
Ethan,Evans,Male,ethanevans@cityhealth.org,79864,EMERGENCY,Senior,ER Doctor,Brightline Medical
Emily,Clark,Male,emilyclark@cityhealth.org,43774,EMERGENCY,Junior,ER Doctor,MediCare General
Lucas,White,Male,lucaswhite@cityhealth.org,71657,SURGERY,Junior,Anesthesiologist,MediCare General
Noah,Davis,Male,noahdavis@st.joseph's.org,49858,EMERGENCY,Junior,General Practitioner,Brightline Medical
Amelia,Wright,Male,ameliawright@st.joseph's.org,64408,EMERGENCY,Junior,Paramedic,City Health
Sarah,Lee,Female,sarahlee@medicaregeneral.org,64130,EMERGENCY,Middle,Nurse,Brightline Medical
Charlotte,Hill,Female,charlottehill@st.joseph's.org,41381,SURGERY,Intern,Surgeon,Brightline Medical
Liam,Taylor,Female,liamtaylor@st.joseph's.org,53597,EMERGENCY,Senior,Nurse,MediCare General
